索引,新闻标题,内容
11,乌克兰首都基辅遭大规模无人机袭击,Play Video0:00/0:35??编导：徐中哲??新华社音视频部制作???? 【纠错】    【责任编辑:刘阳】 
12,新华社消息丨乌克兰首都基辅遭大规模无人机袭击,Play Video0:00/0:35??编导：徐中哲??新华社音视频部制作???? 【纠错】    【责任编辑:刘阳】 
13,新华社消息丨乌克兰首都基辅遭大规模无人机袭击,Play Video0:00/0:35??编导：徐中哲??新华社音视频部制作???? 【纠错】    【责任编辑:刘阳】 
14,乌克兰首都基辅遭大规模无人机袭击,"??新华社基辅3月23日电（记者李东旭）23日凌晨0时15分，乌克兰首都基辅市陆续传出爆炸声。新华社记者在基辅市第聂伯罗区看到，乌军防空火力对低空飞行的无人机实施了拦截。

??据记者观察，俄军无人机群在基辅市上空盘旋近一个小时。在第聂伯罗区，记者清晰听到多架无人机低空盘旋的轰鸣声，在探照灯协助下，乌军防空火力对无人机实施了跟踪拦截，多架无人机在空中爆炸。

??基辅市军事管理局随后发布消息说，杰斯尼扬斯基区、第聂伯罗区、波多利斯基区和舍甫琴科夫斯基区的多座建筑物和车辆被击中并引起火灾，救援人员已赶赴现场。

??截至发稿时，基辅市政府和基辅市军事管理局未公布此次无人机袭击的更多细节及造成伤亡情况。

??据乌军在社交媒体发布的消息，22日深夜至23日凌晨，俄军使用无人机对乌境内日托米尔州、文尼察州、哈尔科夫州、基辅州、赫梅利尼茨基州等多个州发动袭击。截至凌晨2时许，俄军无人机袭击仍在进行中。

【责任编辑:焦鹏】"
15,乌克兰首都基辅遭大规模无人机袭击,"??新华社基辅3月23日电（记者李东旭）23日凌晨0时15分，乌克兰首都基辅市陆续传出爆炸声。新华社记者在基辅市第聂伯罗区看到，乌军防空火力对低空飞行的无人机实施了拦截。

??据记者观察，俄军无人机群在基辅市上空盘旋近一个小时。在第聂伯罗区，记者清晰听到多架无人机低空盘旋的轰鸣声，在探照灯协助下，乌军防空火力对无人机实施了跟踪拦截，多架无人机在空中爆炸。

??基辅市军事管理局随后发布消息说，杰斯尼扬斯基区、第聂伯罗区、波多利斯基区和舍甫琴科夫斯基区的多座建筑物和车辆被击中并引起火灾，救援人员已赶赴现场。

??截至发稿时，基辅市政府和基辅市军事管理局未公布此次无人机袭击的更多细节及造成伤亡情况。

??据乌军在社交媒体发布的消息，22日深夜至23日凌晨，俄军使用无人机对乌境内日托米尔州、文尼察州、哈尔科夫州、基辅州、赫梅利尼茨基州等多个州发动袭击。截至凌晨2时许，俄军无人机袭击仍在进行中。

【责任编辑:焦鹏】"
16,乌克兰首都基辅遭大规模无人机袭击,"??新华社基辅3月23日电（记者李东旭）23日凌晨0时15分，乌克兰首都基辅市陆续传出爆炸声。新华社记者在基辅市第聂伯罗区看到，乌军防空火力对低空飞行的无人机实施了拦截。

??据记者观察，俄军无人机群在基辅市上空盘旋近一个小时。在第聂伯罗区，记者清晰听到多架无人机低空盘旋的轰鸣声，在探照灯协助下，乌军防空火力对无人机实施了跟踪拦截，多架无人机在空中爆炸。

??基辅市军事管理局随后发布消息说，杰斯尼扬斯基区、第聂伯罗区、波多利斯基区和舍甫琴科夫斯基区的多座建筑物和车辆被击中并引起火灾，救援人员已赶赴现场。

??截至发稿时，基辅市政府和基辅市军事管理局未公布此次无人机袭击的更多细节及造成伤亡情况。

??据乌军在社交媒体发布的消息，22日深夜至23日凌晨，俄军使用无人机对乌境内日托米尔州、文尼察州、哈尔科夫州、基辅州、赫梅利尼茨基州等多个州发动袭击。截至凌晨2时许，俄军无人机袭击仍在进行中。

【责任编辑:焦鹏】"
17,乌克兰称袭击了俄罗斯恩格斯军用机场,"　　新华社基辅／莫斯科3月20日电（记者李东旭　赵冰）乌克兰武装部队总参谋部20日说，乌国家安全局下属的乌特种部队在乌国防军有关机构配合下，于当天凌晨袭击了俄罗斯萨拉托夫州的恩格斯军用机场。

　　乌武装部队总参谋部在社交媒体上说，恩格斯机场遭袭后发生爆炸并起火，之后发生二次爆炸。

　　俄萨拉托夫州州长布萨尔金当天在社交媒体上说，该州萨拉托夫市和恩格斯市过去一夜遭遇最密集的一次无人机袭击。袭击导致恩格斯市一个机场附近发生火灾，附近居民正在疏散。布萨尔金说，袭击已造成10人受伤。

　　俄国防部20日发布通报称，过去一夜，俄军共击落132架无人机。

　　据悉，恩格斯军用机场部署了俄军图－95MS和图－160战略轰炸机队，俄空军战机利用该机场对乌克兰境内目标实施打击。

【责任编辑:艾莲】"
18,美乌总统就乌克兰停火谈判等问题通话,　　新华社华盛顿3月19日电 美国总统特朗普19日在社交媒体上发文说，他当天上午与乌克兰总统泽连斯基通话，大部分讨论内容都是基于美俄元首18日的通话情况，“以使俄罗斯和乌克兰在要求和需求方面保持一致”。　　特朗普说，通话持续约1小时，“进行得非常顺利”，美方将很快就通话要点发表声明。　　美国白宫18日说，特朗普当天与俄罗斯总统普京进行了通话，双方同意俄乌冲突需要以实现长久和平结束，停止冲突将从能源和基础设施停火开始，同时将就实施黑海海上停火、全面停火和永久和平进行技术谈判。　　泽连斯基18日表示，乌方对俄方的停火诚意感到怀疑，他需要了解美俄元首通话具体细节。他19日在与特朗普通话前，指责普京违背对特朗普的承诺，称俄一夜之间动用150架无人机袭击了包括能源设施在内的乌克兰目标。 【纠错】    【责任编辑:张欣然】 
19,俄国防部称已暂停袭击乌能源设施?泽连斯基反驳,"??新华社莫斯科/基辅3月19日电（记者赵冰　李东旭）俄罗斯国防部19日称，接到总统普京暂停对乌克兰能源基础设施袭击的命令后，俄军自行摧毁了在乌境内的7架无人机。乌克兰总统泽连斯基当天表示，“普京的话与现实不符”，当晚俄罗斯无人机仍对乌能源基础设施发动了攻击。

??俄国防部19日发布通报说，俄军接到普京暂时停止对乌能源基础设施袭击的命令时，尚有7架俄军无人机在乌克兰尼古拉耶夫州，攻击目标是乌军工综合体相关的能源基础设施。俄军随后奉命将这些无人机击落。

??俄国防部说，俄美元首通话之后的19日凌晨，乌军仍出动3架无人机袭击了俄南部克拉斯诺达尔边疆区一处能源基础设施。无人机坠落导致一个油罐起火。俄国防部认为，此次袭击是乌方对美国总统特朗普提出的和平倡议的“蓄意挑衅”。

??据乌克兰国际文传电讯社19日报道，正在芬兰访问的泽连斯基当天在赫尔辛基举行的记者会上说，普京在与特朗普通话后宣布停止袭击乌能源设施，但当晚俄无人机仍对乌方能源设施发动了攻击。

??泽连斯基说，“普京的话与现实不符”，俄军使用了近150架无人机攻击乌能源设施、交通设施、医疗机构，因此“需要对俄罗斯施压”。泽连斯基说，他对“俄方想要和平的诚意感到怀疑，乌方需要伙伴国家继续提供国防支持”。

??乌克兰空军19日在社交媒体发文称，当地时间18日晚7时至19日凌晨，俄军使用导弹和无人机对乌克兰发动攻击。乌空军称，俄军从布良斯克州、奥廖尔州、库尔斯克州、罗斯托夫州和克拉斯诺达尔边疆区等地向乌境内发射多枚导弹及145架无人机。截至当地时间19日8时，乌克兰苏梅州、敖德萨州、基辅州等6个州遭到袭击，乌军在哈尔科夫州、苏梅州、基辅州等12个州拦截了72架无人机。

【责任编辑:邱丽芳】"
20,特朗普称伊朗要为胡塞武装今后袭击承担“可怕”后果,"??新华社华盛顿3月17日电　美国总统特朗普17日称，今后美国将把也门胡塞武装发起的袭击视同于伊朗发起的袭击，伊朗将承担“可怕”后果。

??当天，特朗普在社交媒体上发文，指责伊朗“指挥着胡塞武装的一举一动”并为其提供武器、资金和情报。

??他写道：“从现在起，胡塞武装的每一次射击都将被视为从伊朗的武器和领导层发射的，伊朗将为此承担责任并遭受后果，而这些后果将是可怕的。”

??美军参谋长联席会议行动负责人亚力克苏斯·格林克维奇17日在记者会上说，美军15日袭击了胡塞武装在也门的30个目标，16日和17日也实施了空袭行动，空袭还将继续。

??格林克维奇说，美军空袭目标包括胡塞武装的训练基地、指挥中心、武器制造和储存设施，以及无人机基础设施等。16日的空袭目标还包括也门数名高级无人机专家和胡塞武装用于威胁航运的设施。

??美国广播公司17日援引美军官员的话报道说，胡塞武装向红海上的美国“哈里·杜鲁门”号航母战斗群发出11架攻击型无人机和一枚弹道导弹。所有无人机均被美战机击落，弹道导弹因距离过远未进行拦截。

??也门胡塞武装发言人叶海亚·萨雷亚16日在该组织控制的马西拉电视台发表声明说，作为对美军空袭也门的回应，该组织16日使用18枚弹道导弹和巡航导弹及一架攻击无人机袭击了位于红海的美国“哈里·杜鲁门”号航母战斗群。

【责任编辑:焦鹏】"
21,乌多地遭俄无人机袭击,??新华社基辅3月17日电（记者李东旭）乌克兰空军17日在社交媒体发文说，16日晚至17日凌晨，俄军对乌发动大规模无人机袭击，乌7个州遭袭。??乌空军说，俄军向乌境内发射了174架攻击型无人机和“诱饵”无人机，敖德萨、波尔塔瓦、哈尔科夫等7个州遭到袭击。截至当地时间17日上午9时，乌防空火力共拦截90架无人机，另有70架未携带炸药的“诱饵”无人机在乌方雷达上消失。??基辅市军事管理局17日在社交媒体发文说，当天凌晨，俄军使用37架无人机对乌首都基辅发动袭击，截至上午8时，乌防空火力拦截了25架无人机，袭击未造成人员伤亡和财产损失。??敖德萨州军事行政长官基佩尔当天在社交媒体发布消息说，俄军无人机袭击造成当地1人受伤，一处仓库和部分建筑物受损。据波尔塔瓦州军事管理局当天消息，俄军无人机袭击导致克列缅丘格地区紧急停电。 【纠错】    【责任编辑:邱丽芳】 
22,乌克兰多地遭俄军无人机袭击,??新华社基辅3月17日电（记者李东旭）乌克兰空军17日在社交媒体发文说，16日晚至17日凌晨，俄军对乌发动大规模无人机袭击，乌7个州遭袭。??乌空军说，俄军向乌境内发射了174架攻击型无人机和“诱饵”无人机，敖德萨、波尔塔瓦、哈尔科夫等7个州遭到袭击。截至当地时间17日上午9时，乌防空火力共拦截90架无人机，另有70架未携带炸药的“诱饵”无人机在乌方雷达上消失。??基辅市军事管理局17日在社交媒体发文说，当天凌晨，俄军使用37架无人机对乌首都基辅发动袭击，截至上午8时，乌防空火力拦截了25架无人机，袭击未造成人员伤亡和财产损失。??敖德萨州军事行政长官基佩尔当天在社交媒体发布消息说，俄军无人机袭击造成当地1人受伤，一处仓库和部分建筑物受损。据波尔塔瓦州军事管理局当天消息，俄军无人机袭击导致克列缅丘格地区紧急停电。 【纠错】    【责任编辑:邱丽芳】 
23,乌克兰多地遭俄军无人机袭击,??新华社基辅3月17日电（记者李东旭）乌克兰空军17日在社交媒体发文说，16日晚至17日凌晨，俄军对乌发动大规模无人机袭击，乌7个州遭袭。??乌空军说，俄军向乌境内发射了174架攻击型无人机和“诱饵”无人机，敖德萨、波尔塔瓦、哈尔科夫等7个州遭到袭击。截至当地时间17日上午9时，乌防空火力共拦截90架无人机，另有70架未携带炸药的“诱饵”无人机在乌方雷达上消失。??基辅市军事管理局17日在社交媒体发文说，当天凌晨，俄军使用37架无人机对乌首都基辅发动袭击，截至上午8时，乌防空火力拦截了25架无人机，袭击未造成人员伤亡和财产损失。??敖德萨州军事行政长官基佩尔当天在社交媒体发布消息说，俄军无人机袭击造成当地1人受伤，一处仓库和部分建筑物受损。据波尔塔瓦州军事管理局当天消息，俄军无人机袭击导致克列缅丘格地区紧急停电。 【纠错】    【责任编辑:邱丽芳】 
